path,name,size_kb,n_features,geom_type,crs,minx,miny,maxx,maxy,year_start,year_end,category,error,primary_year
DSAS_cpHat/cpHat_3/Trans_Stand_NEW.shp,Trans_Stand_NEW,1.1,1,LineString,EPSG:32119,883024.3501000032,148857.14820000157,931463.439199999,210304.38540000096,,,transect,,
DSAS_cpHat/cpHat_3/Trans_Stand_Old.shp,Trans_Stand_Old,66.6,774,LineString,EPSG:32119,883420.807245262,151852.33051109686,931469.7998294905,210248.57577705383,,,transect,,
DSAS_cpHat/cpHat_3/app_lines1852_1974.shp,app_lines1852_1974,134.3,88,LineString,EPSG:32119,881674.2245000005,149846.3949000016,930401.4985999987,211829.4342319075,1852.0,1974.0,shoreline_appended,,1974.0
DSAS_cpHat/cpHat_3/app_lines1974_2004.shp,app_lines1974_2004,845.4,5338,LineString,EPSG:32119,881576.1582999974,149846.3949000016,930358.7512999997,316741.2694000006,1974.0,2004.0,shoreline_appended,,2004.0
DSAS_cpHat/cpHat_3/baseline1revCopy.shp,baseline1revCopy,0.7,1,LineString,EPSG:32119,883024.3501000032,148857.14820000157,931470.6996999979,210304.38540000096,,,baseline,,
DSAS_cpHat/reprojected_shorelines/NOAA_1852_Project.shp,NOAA_1852_Project,15.3,30,LineString,EPSG:32119,924606.4051745087,169253.09763678163,930333.9301615062,215112.85081025586,1852.0,1852.0,shoreline,,1852.0
DSAS_cpHat/reprojected_shorelines/NOAA_1860_Project.shp,NOAA_1860_Project,13.8,6,LineString,EPSG:32119,886732.8816673087,154255.9907470923,926433.387175288,170756.90046851337,1860.0,1860.0,shoreline,,1860.0
DSAS_cpHat/reprojected_shorelines/NOAA_1872_Project.shp,NOAA_1872_Project,14.1,12,LineString,EPSG:32119,898383.1313062239,160952.7786294222,927205.1882196965,178762.05383494683,1872.0,1872.0,shoreline,,1872.0
DSAS_cpHat/reprojected_shorelines/NOAA_1917_Project.shp,NOAA_1917_Project,25.2,29,LineString,EPSG:32119,883111.312094785,151388.41029495746,930401.4986082488,217874.30798768066,1917.0,1917.0,shoreline,,1917.0
DSAS_cpHat/reprojected_shorelines/NOAA_1921_Project.shp,NOAA_1921_Project,9.7,2,LineString,EPSG:32119,924736.1522662527,168617.59733281657,926596.5636684551,174356.1367454771,1921.0,1921.0,shoreline,,1921.0
DSAS_cpHat/reprojected_shorelines/NOAA_1946_Project.shp,NOAA_1946_Project,87.2,30,LineString,EPSG:32119,881673.2837999009,150376.414140936,930392.4484929829,227445.52610580996,1946.0,1946.0,shoreline,,1946.0
